noun,N
n,N
nou,N
non,N
nun,N
oun,N
rverb,RV
rv,RV
vr,RV
r verb,RV
regular verb,RV
reg verb,RV
reg. Verb,RV
r. verb,RV
regverb,RV
regularverb,RV
irverb,IV
iv,IV
vi,IV
I verb,IV
irregular verb,IV
irreg verb,IV
irreg. Verb,IV
ir. verb,IV
irregverb,IV
irregularverb,IV
a,A
adj,A
adj.,A
adjective,A
ad,A
preposition,PR
prep,PR
pr,PR
prep.,PR
phrase,PH
ph.,PH
phr.,PH
ph,PH
phr,PH
vpc,VPC
verb preposition combo,VPC
verb prep combo,VPC
verb prep comb.,VPC
verb prep. Combo,VPC
vp,VPC
vc,VPC
qx,qx
q,qx
quit,qx
exit,qx
